dynamic_metric,image_motion_qc_feature,image_motion_qc_sensitivity_flag,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_rho
hierarchical_compression,image_dvars_mean_mean_abs,False,30,0.9917487293287531,0.991748729328753,0.0019719045112366815,0.7181370776973052,-0.06874304783092325
metastability_proxy,image_dvars_mean_mean_abs,False,30,0.8324179821017402,0.951334836687703,-0.0403310156864225,0.8582812680464643,0.034037819799777526
switching_rate,image_dvars_mean_mean_abs,False,30,0.33825281853004807,0.8148976726420812,-0.18108050796651076,0.42223668424595817,-0.15213286836653814
thalamic_coupling,image_dvars_mean_mean_abs,False,30,0.9209991246390783,0.9610425648407773,0.018908721139654652,0.8987876795986027,0.024249165739710785
within_network_stability,image_dvars_mean_mean_abs,False,30,0.005148297857696674,0.11612697616803207,0.49755410989571125,0.018225640662518788,0.4282536151279199
cross_network_communication,image_dvars_p95_delta_lsd_minus_placebo,False,30,0.44681954209781055,0.8814723940283363,0.14429122601873953,0.4118971733664477,0.15550611790878754
effective_barrier_proxy,image_dvars_p95_delta_lsd_minus_placebo,False,30,0.17780457522099932,0.6919961846438892,-0.2527502320386135,0.18298206897028557,-0.24986094269642345
entropy_diversity,image_dvars_p95_delta_lsd_minus_placebo,False,30,0.2643170354188241,0.7767684306185851,0.210447113361023,0.5156699825939661,0.12347052280311456
hierarchical_compression,image_dvars_p95_delta_lsd_minus_placebo,False,30,0.752648146963234,0.9411454421443864,0.060037318165191256,0.7676737857629369,0.05628476084538376
metastability_proxy,image_dvars_p95_delta_lsd_minus_placebo,False,30,0.7053432168693191,0.9411454421443864,0.07200437207934322,0.7766212161031651,0.05406006674082313
switching_rate,image_dvars_p95_delta_lsd_minus_placebo,False,30,0.2007853995935384,0.7371049702932915,0.24034130288463706,0.23246542867764214,0.22474679968058128
thalamic_coupling,image_dvars_p95_delta_lsd_minus_placebo,False,30,0.5973189395183278,0.9411454421443864,0.10047117795590269,0.7463209997659642,0.06162402669632924
within_network_stability,image_dvars_p95_delta_lsd_minus_placebo,False,30,0.3093703219895852,0.8148976726420812,0.19201958355972423,0.16144128204414793,0.2622914349276974
cross_network_communication,image_dvars_p95_mean_abs,False,30,0.38097424377609834,0.8553601945678141,0.16589025054287088,0.5187239738546686,0.12258064516129033
effective_barrier_proxy,image_dvars_p95_mean_abs,False,30,0.6711797092779193,0.9411454421443864,0.08081508827110193,0.693736260198617,0.07498053222501753
entropy_diversity,image_dvars_p95_mean_abs,False,30,0.01218207093079332,0.13493986261801832,-0.45187742296094985,0.03379221869951786,-0.3886540600667408
hierarchical_compression,image_dvars_p95_mean_abs,False,30,0.901711246031729,0.9610425648407773,0.02354528990969787,0.8711364062149981,-0.030923248053392655
metastability_proxy,image_dvars_p95_mean_abs,False,30,0.6746655223134594,0.9411454421443864,-0.07990885206364136,0.976730107758198,0.005561735261401557
switching_rate,image_dvars_p95_mean_abs,False,30,0.4932240014914967,0.9073906686781444,-0.13009261004262007,0.6055651309950176,-0.09822927518249389
thalamic_coupling,image_dvars_p95_mean_abs,False,30,0.7640903806711541,0.9411454421443864,0.057177766121303264,0.8619506877791012,0.03314794215795328
within_network_stability,image_dvars_p95_mean_abs,False,30,0.004912096719394238,0.11612697616803207,0.4998777795614719,0.017181863273063838,0.4318131256952169
cross_network_communication,image_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.3653720204178177,0.8553601945678141,0.17131483807170256,0.35244549275945924,0.17591354334609435
effective_barrier_proxy,image_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.28339385545093954,0.7995987440439799,-0.20241683587691822,0.25589692201556036,-0.21411149316793948
entropy_diversity,image_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.03490077121420036,0.2792061697136029,-0.3864562946127826,0.061598121526307587,-0.34535311111219286
hierarchical_compression,image_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.6228523523502693,0.9411454421443864,-0.0935706823065255,0.4014974269323169,-0.15894726251576038
metastability_proxy,image_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.7835023166737374,0.9411454421443864,0.05235389468800902,0.5722209541371026,0.10737869841303474
switching_rate,image_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.3343311393178868,0.8148976726420812,0.18253127439016015,0.31752468294478275,0.18886949279123236
thalamic_coupling,image_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.2133628921846955,0.7371049702932915,0.23396236107234186,0.06890365365416898,0.33664673015978464
within_network_stability,image_dvars_spike_fraction_delta_lsd_minus_placebo,False,30,0.14578995464340316,0.6464690580884863,0.27208712124994755,0.18921515997727986,0.24645755311432505
